,SEQN,Money_spent_at_supermarket_grocery_store,Money_spent_on_food_at_other_stores,Money_spent_eating_out,Money_spent_carryout_delivered_foods
0,83732.0,300.0,0.0,125.0,0.0
1,83733.0,200.0,50.0,40.0,0.0
2,83734.0,400.0,0.0,0.0,0.0
3,83735.0,300.0,250.0,50.0,0.0
4,83736.0,300.0,0.0,200.0,0.0
5,83737.0,180.0,270.0,300.0,0.0
6,83738.0,450.0,20.0,25.0,0.0
7,83739.0,500.0,100.0,50.0,50.0
8,83740.0,500.0,0.0,0.0,0.0
9,83741.0,0.0,500.0,,0.0
10,83742.0,857.0,0.0,50.0,0.0
11,83743.0,428.0,642.0,642.0,0.0
12,83744.0,100.0,385.0,257.0,107.0
13,83745.0,300.0,7.0,0.0,0.0
14,83746.0,800.0,0.0,,100.0
15,83747.0,200.0,0.0,0.0,28.0
16,83748.0,300.0,100.0,60.0,70.0
17,83749.0,857.0,0.0,428.0,75.0
18,83750.0,257.0,0.0,30.0,30.0
19,83751.0,200.0,100.0,100.0,0.0
20,83752.0,300.0,100.0,300.0,300.0
21,83753.0,100.0,150.0,90.0,25.0
22,83754.0,600.0,100.0,200.0,0.0
23,83755.0,200.0,20.0,60.0,40.0
24,83756.0,350.0,150.0,100.0,0.0
25,83757.0,400.0,50.0,50.0,0.0
26,83758.0,500.0,0.0,50.0,0.0
27,83759.0,450.0,200.0,100.0,60.0
28,83760.0,700.0,700.0,385.0,40.0
29,83761.0,171.0,171.0,171.0,342.0
30,83762.0,300.0,300.0,100.0,150.0
31,83763.0,857.0,0.0,100.0,0.0
32,83764.0,800.0,80.0,171.0,0.0
33,83765.0,400.0,50.0,0.0,100.0
34,83766.0,800.0,600.0,500.0,50.0
35,83767.0,400.0,,942.0,125.0
36,83768.0,600.0,50.0,100.0,30.0
37,83769.0,857.0,428.0,128.0,0.0
38,83770.0,470.0,100.0,60.0,50.0
39,83771.0,,,,
40,83772.0,300.0,300.0,0.0,0.0
41,83773.0,300.0,300.0,100.0,0.0
42,83774.0,700.0,400.0,100.0,50.0
43,83775.0,257.0,171.0,,0.0
44,83776.0,428.0,50.0,400.0,40.0
45,83777.0,600.0,100.0,50.0,0.0
46,83778.0,200.0,50.0,150.0,100.0
47,83779.0,1071.0,0.0,35.0,0.0
48,83780.0,180.0,270.0,300.0,0.0
49,83781.0,250.0,10.0,0.0,0.0
50,83782.0,600.0,0.0,50.0,0.0
51,83783.0,214.0,160.0,642.0,50.0
52,83784.0,,,,
53,83785.0,300.0,100.0,214.0,85.0
54,83786.0,300.0,100.0,100.0,0.0
55,83787.0,,200.0,60.0,30.0
56,83788.0,300.0,0.0,48.0,0.0
57,83789.0,5900.0,0.0,150.0,0.0
58,83790.0,194.0,30.0,25.0,25.0
59,83791.0,428.0,0.0,0.0,0.0
60,83792.0,250.0,214.0,100.0,20.0
61,83793.0,500.0,80.0,60.0,0.0
62,83794.0,1071.0,200.0,257.0,0.0
63,83795.0,600.0,0.0,300.0,0.0
64,83796.0,900.0,30.0,520.0,0.0
65,83797.0,500.0,200.0,300.0,150.0
66,83798.0,400.0,300.0,428.0,214.0
67,83799.0,857.0,0.0,100.0,100.0
68,83800.0,642.0,100.0,171.0,85.0
69,83801.0,500.0,100.0,342.0,0.0
70,83802.0,,,,
71,83803.0,150.0,42.0,115.0,40.0
72,83804.0,,,,
73,83805.0,300.0,0.0,100.0,100.0
74,83806.0,450.0,0.0,50.0,0.0
75,83807.0,428.0,200.0,428.0,0.0
76,83808.0,600.0,200.0,200.0,50.0
77,83809.0,500.0,0.0,100.0,0.0
78,83810.0,600.0,125.0,200.0,100.0
79,83811.0,1714.0,214.0,214.0,128.0
80,83812.0,500.0,0.0,300.0,0.0
81,83813.0,200.0,0.0,40.0,0.0
82,83814.0,900.0,0.0,100.0,40.0
83,83815.0,900.0,300.0,9.0,0.0
84,83816.0,300.0,0.0,0.0,0.0
85,83817.0,500.0,100.0,50.0,50.0
86,83818.0,200.0,0.0,0.0,0.0
87,83819.0,350.0,50.0,80.0,30.0
88,83820.0,428.0,428.0,150.0,0.0
89,83821.0,212.0,0.0,0.0,0.0
90,83822.0,250.0,175.0,65.0,0.0
91,83823.0,300.0,0.0,0.0,0.0
92,83824.0,400.0,85.0,30.0,0.0
93,83825.0,400.0,128.0,257.0,0.0
94,83826.0,857.0,771.0,0.0,0.0
95,83827.0,150.0,20.0,80.0,80.0
96,83828.0,1200.0,0.0,200.0,0.0
97,83829.0,100.0,300.0,250.0,0.0
98,83830.0,300.0,200.0,75.0,0.0
99,83831.0,900.0,50.0,30.0,0.0
100,83832.0,500.0,200.0,428.0,0.0
101,83833.0,300.0,50.0,100.0,0.0
102,83834.0,125.0,0.0,15.0,16.0
103,83835.0,500.0,100.0,60.0,60.0
104,83836.0,200.0,0.0,300.0,100.0
105,83837.0,800.0,150.0,200.0,50.0
106,83838.0,294.0,186.0,40.0,10.0
107,83839.0,428.0,200.0,125.0,25.0
108,83840.0,385.0,20.0,75.0,0.0
109,83841.0,700.0,0.0,100.0,0.0
110,83842.0,0.0,642.0,50.0,0.0
111,83843.0,342.0,15.0,60.0,0.0
112,83844.0,500.0,200.0,428.0,0.0
113,83845.0,950.0,300.0,50.0,50.0
114,83846.0,,,,
115,83847.0,60.0,400.0,350.0,30.0
116,83848.0,300.0,100.0,150.0,0.0
117,83849.0,300.0,80.0,20.0,0.0
118,83850.0,400.0,100.0,200.0,50.0
119,83851.0,300.0,0.0,50.0,0.0
120,83852.0,857.0,0.0,400.0,20.0
121,83853.0,150.0,200.0,400.0,60.0
122,83854.0,857.0,0.0,428.0,171.0
123,83855.0,800.0,20.0,100.0,100.0
124,83856.0,450.0,400.0,450.0,100.0
125,83857.0,500.0,100.0,200.0,0.0
126,83858.0,428.0,771.0,,0.0
127,83859.0,500.0,200.0,0.0,0.0
128,83860.0,342.0,100.0,400.0,120.0
129,83861.0,50.0,65.0,200.0,0.0
130,83862.0,400.0,642.0,100.0,
131,83863.0,1000.0,0.0,800.0,50.0
132,83864.0,300.0,0.0,30.0,0.0
133,83865.0,1000.0,200.0,8.0,150.0
134,83866.0,321.0,0.0,150.0,25.0
135,83867.0,514.0,10.0,100.0,30.0
136,83868.0,857.0,50.0,300.0,120.0
137,83869.0,0.0,50.0,30.0,21.0
138,83870.0,300.0,0.0,120.0,0.0
139,83871.0,1000.0,0.0,400.0,0.0
140,83872.0,500.0,25.0,30.0,15.0
141,83873.0,1714.0,214.0,214.0,128.0
142,83874.0,200.0,200.0,60.0,0.0
143,83875.0,400.0,400.0,100.0,50.0
144,83876.0,120.0,0.0,200.0,0.0
145,83877.0,428.0,0.0,100.0,0.0
146,83878.0,700.0,0.0,30.0,70.0
147,83879.0,1200.0,60.0,200.0,30.0
148,83880.0,800.0,0.0,130.0,100.0
149,83881.0,850.0,200.0,100.0,30.0
150,83882.0,,,,0.0
151,83883.0,321.0,0.0,20.0,0.0
152,83884.0,642.0,0.0,214.0,0.0
153,83885.0,600.0,0.0,100.0,0.0
154,83886.0,200.0,20.0,200.0,0.0
155,83887.0,450.0,100.0,100.0,
156,83888.0,300.0,30.0,20.0,0.0
157,83889.0,600.0,200.0,400.0,0.0
158,83890.0,700.0,100.0,0.0,0.0
159,83891.0,200.0,0.0,25.0,0.0
160,83892.0,350.0,0.0,50.0,0.0
161,83893.0,,0.0,0.0,0.0
162,83894.0,450.0,50.0,70.0,50.0
163,83895.0,,0.0,,
164,83896.0,500.0,200.0,200.0,0.0
165,83897.0,257.0,40.0,80.0,30.0
166,83898.0,300.0,75.0,200.0,50.0
167,83899.0,150.0,20.0,60.0,0.0
168,83900.0,192.0,15.0,4.0,0.0
169,83901.0,470.0,100.0,60.0,50.0
170,83902.0,750.0,0.0,600.0,0.0
171,83903.0,0.0,500.0,,0.0
172,83904.0,600.0,0.0,15.0,0.0
173,83905.0,857.0,857.0,200.0,200.0
174,83906.0,357.0,0.0,50.0,0.0
175,83907.0,300.0,20.0,200.0,100.0
176,83908.0,214.0,25.0,16.0,0.0
177,83909.0,,,,
178,83910.0,300.0,50.0,100.0,0.0
179,83911.0,500.0,0.0,100.0,0.0
180,83912.0,771.0,0.0,0.0,0.0
181,83913.0,600.0,100.0,50.0,70.0
182,83914.0,400.0,100.0,100.0,0.0
183,83915.0,342.0,30.0,214.0,0.0
184,83916.0,600.0,100.0,400.0,30.0
185,83917.0,300.0,0.0,,0.0
186,83918.0,650.0,0.0,160.0,60.0
187,83919.0,150.0,350.0,120.0,50.0
188,83920.0,1714.0,0.0,0.0,0.0
189,83921.0,600.0,50.0,300.0,0.0
190,83922.0,800.0,100.0,100.0,0.0
191,83923.0,400.0,100.0,60.0,0.0
192,83924.0,557.0,128.0,85.0,0.0
193,83925.0,428.0,50.0,321.0,0.0
194,83926.0,364.0,85.0,257.0,0.0
195,83927.0,385.0,85.0,30.0,0.0
196,83928.0,,,,
197,83929.0,1400.0,0.0,85.0,85.0
198,83930.0,278.0,0.0,32.0,0.0
199,83931.0,200.0,40.0,100.0,20.0
200,83932.0,500.0,20.0,35.0,0.0
201,83933.0,500.0,171.0,150.0,40.0
202,83934.0,180.0,70.0,30.0,0.0
203,83935.0,642.0,0.0,500.0,0.0
204,83936.0,500.0,150.0,,75.0
205,83937.0,400.0,0.0,250.0,0.0
206,83938.0,428.0,0.0,100.0,0.0
207,83939.0,350.0,50.0,75.0,75.0
